epoch,loss,ppl,accuracy
0, 9.16035, 9512.34566,0.003
1, 9.15224, 9435.56628,1.558
2, 9.14020, 9322.60711,10.772
3, 9.13020, 9229.82358,11.983
4, 9.12230, 9157.23503,12.015
5, 9.11506, 9091.14135,12.015
6, 9.10784, 9025.76696,12.015
7, 9.10029, 8957.92821,12.015
8, 9.09220, 8885.74702,13.011
9, 9.08361, 8809.67238,16.408
10, 9.07477, 8732.19154,17.284
11, 9.06577, 8653.97057,17.416
12, 9.05646, 8573.72950,17.422
13, 9.04655, 8489.23981,17.454
14, 9.03601, 8400.18507,17.453
15, 9.02479, 8306.43472,17.424
16, 9.01277, 8207.20887,17.401
17, 8.99998, 8102.90205,17.370
18, 8.98643, 7993.83542,17.337
19, 8.97209, 7880.03225,17.288
20, 8.95699, 7761.98604,17.200
21, 8.94105, 7639.23087,17.119
22, 8.92437, 7512.85681,17.026
23, 8.90689, 7382.68697,16.885
24, 8.88861, 7248.96576,16.766
25, 8.86957, 7112.18856,16.607
26, 8.84972, 6972.40770,16.438
27, 8.82906, 6829.84337,16.300
28, 8.80757, 6684.67383,16.110
29, 8.78532, 6537.56466,15.896
30, 8.76226, 6388.51561,15.662
31, 8.73842, 6238.02991,15.419
32, 8.71378, 6086.22066,15.140
33, 8.68835, 5933.37920,14.894
34, 8.66211, 5779.72265,14.642
35, 8.63505, 5625.41907,14.410
36, 8.60726, 5471.23394,14.239
37, 8.57866, 5316.99414,14.104
38, 8.54927, 5162.98843,14.086
39, 8.51914, 5009.72947,14.113
40, 8.48820, 4857.12474,14.239
41, 8.45649, 4705.49031,14.335
42, 8.42405, 4555.32636,14.396
43, 8.39087, 4406.66386,14.430
44, 8.35693, 4259.59202,14.505
45, 8.32229, 4114.55253,14.545
46, 8.28699, 3971.84404,14.487
47, 8.25097, 3831.32507,14.448
48, 8.21427, 3693.27945,14.374
49, 8.17692, 3557.86439,14.293
50, 8.13898, 3425.42710,14.147
51, 8.10038, 3295.70769,13.987
52, 8.06119, 3169.06414,13.791
53, 8.02137, 3045.35498,13.583
54, 7.98098, 2924.79042,13.321
55, 7.94003, 2807.43422,13.108
56, 7.89857, 2693.42837,12.817
57, 7.85659, 2582.69266,12.597
58, 7.81413, 2475.33601,12.389
59, 7.77120, 2371.30627,12.262
60, 7.72787, 2270.75925,12.158
61, 7.68411, 2173.53682,12.113
62, 7.63995, 2079.64139,12.065
63, 7.59551, 1989.24212,12.049
64, 7.55073, 1902.12895,12.033
65, 7.50566, 1818.30781,12.026
66, 7.46038, 1737.80585,12.019
67, 7.41490, 1660.54246,12.018
68, 7.36921, 1586.38603,12.017
69, 7.32345, 1515.42994,12.016
70, 7.27756, 1447.44829,12.016
71, 7.23164, 1382.48386,12.016
72, 7.18571, 1320.42768,12.016
73, 7.13983, 1261.21593,12.016
74, 7.09405, 1204.78176,12.015
75, 7.04837, 1150.98296,12.016
76, 7.00289, 1099.80891,12.016
77, 6.95762, 1051.12994,12.016
78, 6.91266, 1004.91796,12.016
79, 6.86804, 961.06623,12.016
80, 6.82381, 919.48059,12.018
81, 6.78006, 880.12196,12.018
82, 6.73677, 842.83126,12.019
83, 6.69409, 807.62262,12.023
84, 6.65206, 774.38163,12.030
85, 6.61070, 743.00278,12.036
86, 6.57009, 713.43497,12.055
87, 6.53028, 685.59285,12.092
88, 6.49129, 659.37572,12.131
89, 6.45322, 634.74553,12.210
90, 6.41603, 611.56889,12.305
91, 6.37987, 589.85343,12.517
92, 6.34481, 569.52871,12.762
93, 6.31085, 550.51407,13.137
94, 6.27807, 532.75983,13.653
95, 6.24654, 516.22335,14.267
96, 6.21633, 500.86267,15.042
97, 6.18757, 486.65994,15.899
98, 6.16024, 473.54083,16.765
99, 6.13425, 461.39306,17.466
100, 6.10905, 449.91022,17.764
101, 6.08469, 439.08309,18.115
102, 6.06066, 428.65804,18.282
103, 6.03769, 418.92561,18.563
104, 6.01529, 409.64486,18.639
105, 5.99352, 400.82363,18.708
106, 5.97188, 392.24087,18.740
107, 5.95105, 384.15565,18.740
108, 5.93051, 376.34762,18.750
109, 5.90979, 368.62923,18.754
110, 5.88939, 361.18406,18.767
111, 5.86835, 353.66454,18.798
